MLS,Location,Price,Bedrooms,Bathrooms,Size,Price SQ Ft,Status
149948,Santa Maria-Orcutt,249000.00,4,3,1963,126.85,Short Sale
149956,Santa Maria-Orcutt,235000.00,3,3,1541,152.50,Short Sale
149961,Grover Beach,469000.00,4,3,2449,191.51,Foreclosure
149989,Nipomo,159000.00,4,2,1660,95.78,Short Sale
149994,King City,69900.00,3,1,936,74.68,Foreclosure
150143,Arroyo Grande,1499000.00,5,7,6800,220.44,Short Sale
150194,Atascadero,239000.00,3,2,1022,233.86,Short Sale
150199,Atascadero,399500.00,3,2,1665,239.94,Short Sale
150240,Paso Robles,299900.00,3,2,1209,248.06,Foreclosure
150256,Lompoc,275000.00,3,2,1700,161.76,Short Sale
150262,Morro Bay,395000.00,4,2,1736,227.53,Short Sale
150283,Santa Maria-Orcutt,105000.00,1,1,731,143.64,Short Sale
150290,Santa Maria-Orcutt,179999.00,3,2,1086,165.74,Short Sale
150294,Santa Maria-Orcutt,219000.00,3,2,1131,193.63,Short Sale
150308,Solvang,325000.00,3,3,1500,216.67,Short Sale
150317,Atascadero,829900.00,4,3,3827,216.85,Short Sale
150335,Santa Maria-Orcutt,165000.00,2,1,1100,150.00,Short Sale
150360,Santa Maria-Orcutt,179000.00,3,2,1398,128.04,Short Sale
150390,Paso Robles,279000.00,3,2,1381,202.03,Short Sale
150392,Atascadero,820000.00,4,4,3387,242.10,Foreclosure
150394,Paso Robles,399000.00,2,1,1250,319.20,Short Sale
150407,San Miguel,164900.00,3,1,965,170.88,Short Sale
150424,Santa Maria-Orcutt,235000.00,4,2,1860,126.34,Short Sale
150439,Arroyo Grande,1900000.00,4,5,5411,351.14,Short Sale
150455,Nipomo,289000.00,3,2,1367,211.41,Short Sale
150470,Paso Robles,355000.00,3,2,1640,216.46,Short Sale
150477,Santa Maria-Orcutt,199000.00,3,2,1269,156.82,Short Sale
150482,Santa Maria-Orcutt,209000.00,3,2,1275,163.92,Short Sale
150493,Lompoc,186900.00,3,1,912,204.93,Foreclosure
150501,Santa Maria-Orcutt,240000.00,4,2,1460,164.38,Short Sale
150513,Nipomo,515000.00,2,2,2000,257.50,Short Sale
150543,Santa Maria-Orcutt,215000.00,4,2,1750,122.86,Short Sale
150556,Santa Maria-Orcutt,399900.00,4,4,3050,131.11,Short Sale
150571,Paso Robles,369000.00,4,3,2371,155.63,Short Sale
150572,Paso Robles,250000.00,2,2,1292,193.50,Short Sale
150588,Paso Robles,259000.00,3,2,1640,157.93,Short Sale
150611,Santa Maria-Orcutt,180000.00,2,2,1082,166.36,Short Sale
150636,Solvang,399900.00,3,2,1522,262.75,Short Sale
150638,Arroyo Grande,385000.00,3,2,1535,250.81,Short Sale
150669,Santa Maria-Orcutt,154000.00,2,2,1100,140.00,Short Sale
150732,San Luis Obispo,254900.00,2,2,966,263.87,Foreclosure
150744,Paso Robles,315000.00,4,2,1653,190.56,Short Sale
150746,Santa Maria-Orcutt,437500.00,3,3,2523,173.40,Short Sale
150751,Santa Maria-Orcutt,299900.00,3,3,2511,119.43,Short Sale
150773,Arroyo Grande,399000.00,3,3,1772,225.17,Short Sale
150823,Paso Robles,330000.00,3,3,1889,174.70,Short Sale
150827,Arroyo Grande,279000.00,2,2,880,317.05,Short Sale
150844,Santa Maria-Orcutt,248000.00,3,2,1400,177.14,Short Sale
150857,Santa Maria-Orcutt,209000.00,3,3,1494,139.89,Short Sale
150879,Los Osos,729000.00,3,2,1844,395.34,Short Sale
150903,Atascadero,454500.00,4,3,1900,239.21,Foreclosure
150929,Paso Robles,249000.00,3,2,1176,211.73,Short Sale
150949,Nipomo,1700000.00,3,5,4463,380.91,Short Sale
150966,Grover Beach,349000.00,3,2,1635,213.46,Short Sale
150969,Grover Beach,575000.00,3,3,2095,274.46,Short Sale
150980,Santa Maria-Orcutt,185000.00,3,2,1300,142.31,Short Sale
150981,Santa Maria-Orcutt,165000.00,3,2,1200,137.50,Short Sale
150987,Morro Bay,311900.00,0,1,910,342.75,Foreclosure
151000,Santa Maria-Orcutt,175000.00,3,2,1600,109.38,Short Sale
151005,Lompoc,180000.00,4,2,1332,135.14,Short Sale
151009,Santa Maria-Orcutt,78000.00,2,2,1680,46.43,Short Sale
151021,Oceano,142900.00,2,1,1313,108.83,Foreclosure
151071,Atascadero,850000.00,4,4,3744,227.03,Foreclosure
151078,Paso Robles,389000.00,3,2,1998,194.69,Short Sale
151080,Santa Maria-Orcutt,641900.00,3,3,2714,236.51,Foreclosure
151083,Templeton,305000.00,4,2,1797,169.73,Short Sale
151084,Paso Robles,260000.00,3,3,1687,154.12,Short Sale
151085,Paso Robles,320000.00,3,2,1663,192.42,Short Sale
151097,Atascadero,199000.00,2,1,792,251.26,Short Sale
151107,Santa Maria-Orcutt,299000.00,2,2,1410,212.06,Short Sale
151114,Buellton,289000.00,2,2,1085,266.36,Short Sale
151126,Santa Maria-Orcutt,229900.00,3,3,1900,121.00,Short Sale
151138,Atascadero,865000.00,4,3,3305,261.72,Foreclosure
151186,Atascadero,900000.00,4,4,3962,227.16,Short Sale
151187,Atascadero,199000.00,2,3,1260,157.94,Short Sale
151213,Santa Maria-Orcutt,160000.00,2,3,1200,133.33,Short Sale
151227,Santa Maria-Orcutt,299000.00,3,3,2400,124.58,Short Sale
151228,Oceano,300000.00,3,3,1265,237.15,Short Sale
151232,Santa Maria-Orcutt,270000.00,4,2,1460,184.93,Short Sale
151246,Nipomo,490000.00,3,3,1894,258.71,Short Sale
151249,Santa Maria-Orcutt,295000.00,3,3,1800,163.89,Short Sale
151257,Paso Robles,225000.00,3,2,1550,145.16,Short Sale
151277,Atascadero,324900.00,2,2,1426,227.84,Short Sale
151293,Santa Maria-Orcutt,165000.00,3,2,1110,148.65,Short Sale
151296,Santa Maria-Orcutt,157900.00,3,2,1075,146.88,Short Sale
151304,Nipomo,299000.00,3,2,1756,170.27,Short Sale
151308,Paso Robles,369000.00,3,3,2150,171.63,Short Sale
151373,Santa Maria-Orcutt,233000.00,4,2,1650,141.21,Short Sale
151395,Santa Maria-Orcutt,109900.00,2,2,1200,91.58,Foreclosure
151402,Paso Robles,309000.00,3,2,1488,207.66,Short Sale
151419,Pismo Beach,1799000.00,4,4,3609,498.48,Foreclosure
151441,Santa Maria-Orcutt,209900.00,2,2,1113,188.59,Short Sale
151443,Solvang,499000.00,3,2,1600,311.88,Short Sale
151451,Arroyo Grande,525000.00,4,2,1961,267.72,Short Sale
151454,Los Osos,650000.00,3,3,3249,200.06,Short Sale
151470,Morro Bay,529000.00,3,3,1510,350.33,Short Sale
151498,Santa Maria-Orcutt,179000.00,3,2,1300,137.69,Short Sale
151521,Lompoc,282000.00,3,3,1736,162.44,Short Sale
151527,Templeton,899000.00,4,3,3008,298.87,Short Sale
151534,Santa Maria-Orcutt,130000.00,3,2,1850,70.27,Short Sale
151636,Santa Maria-Orcutt,205000.00,3,2,1146,178.88,Short Sale
151640,Santa Maria-Orcutt,180900.00,2,2,1100,164.45,Short Sale
151647,Atascadero,409900.00,4,4,2135,191.99,Short Sale
151648,Atascadero,409900.00,4,4,2135,191.99,Short Sale
151678,Grover Beach,469000.00,3,2,1827,256.70,Short Sale
151681,Arroyo Grande,289000.00,3,1,1005,287.56,Short Sale
151690,Santa Maria-Orcutt,99999.00,2,3,1800,55.56,Short Sale
151700,Santa Maria-Orcutt,445000.00,5,3,3307,134.56,Foreclosure
151711,Atascadero,640000.00,3,3,2160,296.30,Short Sale
151724,San Miguel,185000.00,3,2,1062,174.20,Short Sale
151732,Santa Maria-Orcutt,210000.00,4,2,1102,190.56,Short Sale
151772,Santa Maria-Orcutt,199900.00,3,2,1215,164.53,Short Sale
151805,Santa Maria-Orcutt,225000.00,3,2,1600,140.63,Short Sale
151816,Paso Robles,369900.00,4,2,2161,171.17,Foreclosure
151824,Santa Maria-Orcutt,120000.00,3,2,1686,71.17,Short Sale
151826,Paso Robles,199000.00,2,1,1000,199.00,Short Sale
151832,Arroyo Grande,520000.00,3,3,2600,200.00,Short Sale
151837,Paso Robles,579000.00,5,3,3150,183.81,Foreclosure
151854,Santa Maria-Orcutt,300000.00,4,2,1257,238.66,Short Sale
151857,Arroyo Grande,325000.00,3,2,1171,277.54,Short Sale
151864,Santa Maria-Orcutt,225000.00,3,2,1144,196.68,Short Sale
151870,Atascadero,395000.00,2,1,1160,340.52,Short Sale
151871,Santa Maria-Orcutt,399000.00,4,3,2300,173.48,Short Sale
151876,Lompoc,165000.00,3,2,1144,144.23,Short Sale
151882,Arroyo Grande,374900.00,3,2,1368,274.05,Short Sale
151903,Santa Maria-Orcutt,199900.00,3,2,1238,161.47,Short Sale
151913,Arroyo Grande,365000.00,3,1,1056,345.64,Short Sale
151925,Santa Maria-Orcutt,222900.00,2,2,1086,205.25,Short Sale
151932,Los Osos,249900.00,2,1,720,347.08,Foreclosure
151934,Paso Robles,290000.00,3,2,1426,203.37,Short Sale
151940,Santa Maria-Orcutt,170500.00,4,2,1361,125.28,Short Sale
151942,Atascadero,560000.00,3,3,2344,238.91,Short Sale
151952,Nipomo,339900.00,4,2,1925,176.57,Short Sale
151967,Nipomo,550000.00,4,3,2600,211.54,Short Sale
151991,San Miguel,269900.00,4,2,1601,168.58,Short Sale
151994,Paso Robles,350000.00,3,2,1395,250.90,Short Sale
151996,Los Osos,214000.00,2,2,1042,205.37,Foreclosure
152002,Santa Maria-Orcutt,299900.00,3,2,1200,249.92,Short Sale
152003,Nipomo,139500.00,2,2,1248,111.78,Foreclosure
152006,Lompoc,360000.00,4,3,3000,120.00,Short Sale
152014,Paso Robles,315000.00,3,2,1300,242.31,Short Sale
152019,Paso Robles,279900.00,3,2,1244,225.00,Foreclosure
152024,Paso Robles,399000.00,4,2,2139,186.54,Short Sale
152036,Atascadero,475000.00,4,3,2450,193.88,Short Sale
152037,Santa Maria-Orcutt,65900.00,2,2,840,78.45,Foreclosure
152048,Coalinga,212000.00,4,3,1878,112.89,Short Sale
152068,San Miguel,180000.00,3,2,1350,133.33,Short Sale
152075,Santa Maria-Orcutt,210000.00,4,2,1377,152.51,Short Sale
152078,Buellton,375000.00,3,3,1475,254.24,Short Sale
152109,Atascadero,106900.00,2,2,894,119.57,Foreclosure
152116,Paso Robles,221830.00,3,2,1550,143.12,Short Sale
152122,Nipomo,239000.00,3,2,1106,216.09,Short Sale
152131,Atascadero,187500.00,1,1,594,315.66,Short Sale
152137,Los Alamos,445000.00,5,3,3200,139.06,Short Sale
152139,Santa Maria-Orcutt,309000.00,3,2,1906,162.12,Short Sale
152152,Santa Maria-Orcutt,315000.00,3,2,2004,157.19,Short Sale
152154,Santa Maria-Orcutt,191100.00,3,1,1200,159.25,Foreclosure
152163,Cambria,699900.00,5,3,1818,384.98,Foreclosure
152190,Nipomo,189500.00,2,2,1040,182.21,Short Sale
152191,Santa Maria-Orcutt,199000.00,4,2,1400,142.14,Short Sale
152196,Santa Maria-Orcutt,359000.00,4,3,2209,162.52,Short Sale
152203,Atascadero,264450.00,3,1,1030,256.75,Short Sale
152213,Templeton,459000.00,3,2,1999,229.61,Short Sale
152227,Santa Maria-Orcutt,150000.00,3,2,1316,113.98,Short Sale
152228,Pismo Beach,875000.00,3,3,2200,397.73,Short Sale
152233,Pismo Beach,599000.00,2,2,1200,499.17,Short Sale
152263,Atascadero,250000.00,3,3,1261,198.26,Short Sale
152265,Lompoc,165000.00,3,2,1120,147.32,Short Sale
152272,Santa Maria-Orcutt,229900.00,4,3,1857,123.80,Short Sale
152277,Santa Maria-Orcutt,229900.00,3,2,1400,164.21,Short Sale
152291,Paso Robles,269900.00,3,2,1139,236.96,Short Sale
152298,Santa Maria-Orcutt,245000.00,5,3,6098,40.18,Short Sale
152320,Santa Maria-Orcutt,165000.00,3,2,1300,126.92,Short Sale
152326,Lompoc,429000.00,3,3,2041,210.19,Short Sale
152340,Santa Maria-Orcutt,309900.00,4,3,2248,137.86,Short Sale
152351,Arroyo Grande,265000.00,2,1,972,272.63,Foreclosure
152359,Santa Maria-Orcutt,169900.00,4,2,1500,113.27,Short Sale
152360,Santa Maria-Orcutt,380900.00,3,2,2000,190.45,Short Sale
152384,Santa Maria-Orcutt,315000.00,4,3,1939,162.45,Short Sale
152393,Lompoc,260000.00,3,2,1413,184.01,Short Sale
152395,Santa Maria-Orcutt,119900.00,3,2,1312,91.39,Short Sale
152396,Santa Maria-Orcutt,211500.00,3,2,1275,165.88,Foreclosure
152401,Santa Maria-Orcutt,149000.00,2,1,854,174.47,Short Sale
152405,San Luis Obispo,890000.00,3,3,3474,256.19,Short Sale
152410,Cambria,289900.00,3,2,1380,210.07,Foreclosure
152459,Santa Maria-Orcutt,289000.00,4,3,2100,137.62,Short Sale
152487,Oceano,399900.00,3,2,1487,268.93,Short Sale
152491,Santa Maria-Orcutt,125000.00,3,2,900,138.89,Short Sale
152496,Nipomo,359900.00,5,3,3036,118.54,Short Sale
152515,Santa Maria-Orcutt,239000.00,3,3,1800,132.78,Short Sale
152525,Santa Maria-Orcutt,199900.00,3,3,1600,124.94,Short Sale
152533,Santa Maria-Orcutt,179900.00,4,3,2150,83.67,Short Sale
152565,Santa Maria-Orcutt,195000.00,3,2,1300,150.00,Short Sale
152570,San Luis Obispo,299000.00,2,2,896,333.71,Foreclosure
152581,Santa Maria-Orcutt,265000.00,2,3,1700,155.88,Short Sale
152586,Nipomo,699000.00,3,2,1700,411.18,Foreclosure
152597,Grover Beach,275000.00,2,2,1194,230.32,Short Sale
152617,Paso Robles,169990.00,3,2,1465,116.03,Foreclosure
152619,Santa Maria-Orcutt,189000.00,3,3,1530,123.53,Short Sale
152638,Santa Ynez,695000.00,4,2,2032,342.03,Foreclosure
152670,Santa Maria-Orcutt,105000.00,2,2,1088,96.51,Short Sale
152675,Santa Maria-Orcutt,365000.00,4,4,4000,91.25,Short Sale
152677,Paso Robles,335900.00,3,3,1296,259.18,Foreclosure
152683,Lompoc,170000.00,3,2,944,180.08,Short Sale
152705,Santa Maria-Orcutt,339900.00,4,2,2100,161.86,Short Sale
152716,Santa Maria-Orcutt,359900.00,3,3,2340,153.80,Short Sale
152718,Santa Maria-Orcutt,143000.00,3,2,1080,132.41,Short Sale
152720,Santa Maria-Orcutt,199000.00,3,2,1196,166.39,Short Sale
152727,San Luis Obispo,374800.00,3,3,1365,274.58,Short Sale
152757,Los Osos,499000.00,3,2,2120,235.38,Short Sale
152764,Atascadero,138900.00,2,1,1055,131.66,Foreclosure
152768,Avila Beach,1999000.00,4,5,5307,376.67,Short Sale
