Timestamp,Collected by,Name of makerspace,Email address,Postcode,Date your space opened (or plans to open),Date your space closed (if it is no longer running),cost to member/user per month,Sculpture,Do you have a materials shop?,Do you keep a list of members or regular users?,cluster type by size,Have you adopted a code of conduct?,Gender balance of members or regular users [Female],Gender balance of members or regular users [Male],Gender balance of members or regular users [Other],Gender balance of members or regular users [Prefer not to say],What ethnic groups are represented amongst your membership? [White],What ethnic groups are represented amongst your membership? [Mixed or multiple ethnic groups],What ethnic groups are represented amongst your membership? [Asian or Asian British],What ethnic groups are represented amongst your membership? [Other ethnic group],Total visits in November 2014,Unique users in November 2014,User types in November 2014 [Visitors or observers],User types in November 2014 [Hobbyist],User types in November 2014 [Startups],User types in November 2014 [Sole traders/Microbusinesses],User types in November 2014 [SMEs],User types in November 2014 [Students],User types in November 2014 [Teachers],User types in November 2014 [Other / don't know],Purpose of user visits in November 2014 [Introduction to making],Purpose of user visits in November 2014 [Make something specific],Purpose of user visits in November 2014 [Prototype],Purpose of user visits in November 2014 [Make one-off pieces],Purpose of user visits in November 2014 [Small batch production],Purpose of user visits in November 2014 [Socialise],Purpose of user visits in November 2014 [Other (detail below)],Do you produce accounts?
15-Jan-15,Makerspace. Edited by Researcher,fablab@strathclyde,fablab@strath.ac.uk,G1 1XJ,20/08/2013,,,,Yes,Yes,medium,Yes,,,,<10%,,,,,250-1000,10 to 50,< 10%,10-19%,,,,90-100%,< 10%,,90-100%,90-100%,20-29%,80-89%,10-19%,10-19%,,Yes
15-Jan-15,Makerspace. Edited by Researcher,MakerspaceFY1 (Blackpool Linux user group),admin@pcrecycler.co.uk,FY1 4DY,,,,,No,No,unknown,No,<10%,90-100%,,,,,,,10 to 50,10 to 50,,,,,,,,,,,,,,90-100%,,No
15-Jan-15,Makerspace,piel view hackers,info@octopuscollective.org,LA13 9BD,,,3-Aug,,No,,unknown,No,30-39%,70-79%,,,90-100%,,,,,,,,,,,,,,,,,,,,,
15-Jan-15,Researcher,Leicester Hackspace,info@leicesterhackspace.org.uk,LE1 1SB,1/3/14,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-15,Researcher,Potteries Hackspace,,ST5 2HN,1/8/14,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jan-15,Makerspace,Newport Makers Club,,NP20 1HG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jan-15,Makerspace. Edited by Researcher,RARA Cooperative (redundant architects recreation association),rara.ale@gmail.com,E5 9ND,2/9/08,,150,,No,Yes,small,Yes,50-59%,40-49%,,,80-89%,10-19%,<10%,,,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Yes
16-Jan-15,Makerspace. Edited by Researcher,Open Hub,openhubwrenna@gmail.com,DY1 3PD,3/11/15,,,,No,Yes,medium,No,70-79%,20-29%,,,30-39%,30-39%,<10%,<10%,,10 to 50,< 10%,,,,,,,,,,,,,,<10%,No
16-Jan-15,Makerspace,Lancaster And Morecambe Makers LAMM (lancaster maker lab),,LA1 4XQ,28/03/2015,,,,No,Yes,small,No,10-19%,70-79%,,<10%,90-100%,,,,0-10,0-10,,,,,,,,Don't know,,,,,,,,Yes
16-Jan-15,Makerspace. Edited by Researcher,Makernow,makernow@falmouth.ac.uk,TR10 9EZ,1/9/13,,,,Yes,Yes,medium,Yes,20-29%,60-69%,,,80-89%,<10%,<10%,<10%,10 to 50,10 to 50,,30-39%,< 10%,20-29%,,< 10%,< 10%,,40-49%,<10%,<10%,,,,,Yes
16-Jan-15,Makerspace. Edited by Researcher,Richmond MakerLabs,support@richmond.ml,TW10 7NY,17/09/2013,,,,No,No,small,No,<10%,,,,,,,,10 to 50,0-10,90-100%,90-100%,,,,,,,,,,<10%,<10%,<10%,<10%,No
19-Jan-15,Makerspace. Edited by Researcher,Camden Town Shed,mike@camdentownshed.org,NW1 9XZ,26/04/2011,,,,No,Yes,small,No,,90-100%,,,80-89%,,,,50-100,10 to 50,,90-100%,,,,,,,,,,80-89%,,<10%,,Yes
19-Jan-15,Makerspace,Blackhorse Workshop,info@blackhorseworkshop.co.uk,E17 6BX,1/2/14,,,,No,Yes,large,No,20-29%,80-89%,,,70-79%,<10%,10-19%,10-19%,50-100,10 to 50,< 10%,20-29%,10-19%,30-39%,10-19%,20-29%,< 10%,,20-29%,20-29%,20-29%,30-39%,20-29%,10-19%,,Yes
20-Jan-15,Makerspace. Edited by Researcher,FabLab Cardiff,hello@fablabcardiff.com,CF5 2YB,27/09/2014,,,Available in workshop in same building,Yes,Yes,small,Yes,20-29%,70-79%,,,80-89%,10-19%,,,50-100,10 to 50,70-79%,10-19%,< 10%,10-19%,< 10%,< 10%,,,20-29%,20-29%,40-49%,40-49%,30-39%,10-19%,,Yes
21-Jan-15,Makerspace. Edited by Researcher,Leigh Hackspace,info@leighhack.org,WN7 1DR,31/01/2015,,,,No,Yes,small,No,<10%,90-100%,,,90-100%,<10%,<10%,<10%,0-10,10 to 50,10-19%,< 10%,< 10%,< 10%,< 10%,< 10%,10-19%,< 10%,10-19%,50-59%,10-19%,50-59%,<10%,80-89%,,Yes
23-Jan-15,Makerspace,The Waiting Room,hello@st-botolphs.org,CO1 2PQ,17/08/2013,,,,No,Yes,medium,Yes,60-69%,30-39%,,,,,,,250-1000,100-250,,30-39%,,30-39%,,30-39%,,,10-19%,20-29%,,<10%,,60-69%,,No
26-Jan-15,Makerspace,MadLab (manchester),office@madlab.org.uk,M4 1HN,1/7/09,,,,Yes,Yes,large,No,30-39%,50-59%,,,70-79%,<10%,<10%,,5000+,1000-5000,20-29%,20-29%,20-29%,< 10%,10-19%,10-19%,< 10%,,80-89%,<10%,,,,50-59%,,Yes
27-Jan-15,Makerspace,DoES Liverpool,hello@doesliverpool.com,L1 4LN,,,,,Yes,Yes,medium,Yes,10-19%,80-89%,,,80-89%,<10%,<10%,<10%,100-250,50-100,,,,,,,,,,,,,,,,Yes
27-Jan-15,Makerspace,Manchester FabLab,info@fablabmanchester.org,M4 6BU,1/4/11,,,,Yes,Yes,large,Yes,40-49%,60-69%,,,70-79%,<10%,20-29%,,250-1000,250-1000,,60-69%,< 10%,< 10%,< 10%,20-29%,10-19%,,,30-39%,10-19%,10-19%,<10%,<10%,,Yes
28-Jan-15,Makerspace. Edited by Researcher,resource,info@resource-hwu.org,TD1 3HF,1/4/14,,,,No,Yes,small,No,90-100%,<10%,,,Don't know,,,,50-100,,,< 10%,< 10%,70-79%,,< 10%,,,,60-69%,,,20-29%,,,No
30-Jan-15,Makerspace. Edited by Researcher,So Make It ,join@somakeit.org.uk,SO15 3FQ,1/3/13,,20-May,,No,Yes,medium,Yes,10-19%,80-89%,<10%,<10%,80-89%,<10%,<10%,<10%,100-250,10 to 50,10-19%,80-89%,< 10%,< 10%,< 10%,< 10%,< 10%,< 10%,<10%,30-39%,<10%,10-19%,<10%,40-49%,<10%,Yes
30-Jan-15,Researcher,Access space,,S1 4RG,1/8/10,,,,Yes,,unknown,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb-15,Makerspace,Cheltenham Hackspace,hello@cheltenhamhackspace.org,GL51 7SD,,,0,,No,Yes,small,No,10-19%,90-100%,,,90-100%,,,,50-100,10 to 50,< 10%,80-89%,,,,10-19%,,,,50-59%,50-59%,,,90-100%,,Yes
2-Feb-15,Makerspace. Edited by Researcher,Multi-Skills Workshop,multi-skills@btconnect.com,BN26 6JF,1/5/12,,8 per hour,,Yes,Yes,medium,No,40-49%,60-69%,,,80-89%,,,,100-250,50-100,,70-79%,,< 10%,,20-29%,,,,20-29%,<10%,<10%,<10%,<10%,,Yes
2-Feb-15,Makerspace,Hitchin Hackspace,info@hackhitchin.org.uk,SG5 1RB,5/3/12,,10,,No,Yes,small,No,<10%,90-100%,,,90-100%,<10%,<10%,<10%,250-1000,10 to 50,< 10%,80-89%,10-19%,10-19%,< 10%,10-19%,10-19%,10-19%,70-79%,70-79%,60-69%,30-39%,<10%,40-49%,,No
3-Feb-15,Makerspace. Edited by Researcher,Eagle House Pop-Up Furniture Factory,justin.ricks@kwmc.org.uk,BS4 1NL,1/11/14,,0,,No,Yes,small,No,50-59%,50-59%,,,80-89%,20-29%,,,100-250,10 to 50,80-89%,,10-19%,,,,,,,,,,,,,Yes
3-Feb-15,Makerspace,Coventry Makerspace,coventrymakerspace@gmail.com,CV1 3JQ,,,,,No,Yes,unknown,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
4-Feb-15,Makerspace. Edited by Researcher,MakeSpace at the Institute of Making,hello@instituteofmaking.org.uk,WC1E 7JE,16/12/2012,,0,,No,Yes,large,Yes,40-49%,50-59%,,,,,,,5000+,,30-39%,< 10%,< 10%,,,30-39%,20-29%,,40-49%,,30-39%,20-29%,,10-19%,,Yes
4-Feb-15,Makerspace,FabLabDevon,hello@fablabdevon.org,EX4 3PQ,22/05/2014,,,,Yes,Yes,unknown,Yes,,,,,,,,,100-250,10 to 50,,,,,,,,,,,,,,,,No
6-Feb-15,Makerspace,Building Bloqs,info@buildingbloqs.com,N18 3QT,1/5/13,,40,,Yes,Yes,medium,No,10-19%,80-89%,,,80-89%,10-19%,<10%,,50-100,,,< 10%,10-19%,70-79%,,10-19%,< 10%,,20-29%,90-100%,<10%,90-100%,10-19%,60-69%,30-39%,Yes
6-Feb-15,Makerspace. Edited by Researcher,Machines Room,machinesroom@limewharf.org,E2 9DQ,1/7/14,,5 - 200,can use cnc machines or 3D printers for creation of 3D models (though cnc's are 3-axis which can prove difficult in recreating a truly 3D object),Yes,Yes,large,Yes,50-59%,50-59%,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,250-1000,10 to 50,10-19%,50-59%,< 10%,20-29%,< 10%,40-49%,< 10%,Don't know,30-39%,20-29%,30-39%,30-39%,20-29%,20-29%,30-39%,
6-Feb-15,Makerspace,Maker Club,hello@makerclub.org,BN1 41J,30/03/2015,,,,No,Yes,small,Yes,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,0-10,0-10,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Yes
6-Feb-15,Makerspace. Edited by Researcher,MakersCAFE,hello@makerscafe.com,E2 8AA,20/08/2014,,,,Yes,Yes,unknown,No,Don't know,Don't know,,,Don't know,Don't know,Don't know,,100-250,50-100,80-89%,,50-59%,70-79%,,80-89%,,,70-79%,80-89%,80-89%,80-89%,80-89%,80-89%,,Yes
7-Feb-15,Makerspace. Edited by Researcher,London Hackspace,contact@london.hackspace.org.uk,E2 9DY,2/11/09,,5,Stoneworking Easel,Yes,Yes,large,Yes,20-29%,60-69%,Don't know,Don't know,50-59%,10-19%,10-19%,10-19%,5000+,250-1000,10-19%,30-39%,20-29%,10-19%,,20-29%,,10-19%,30-39%,60-69%,60-69%,50-59%,30-39%,50-59%,,Yes
8-Feb-15,Makerspace. Edited by Researcher,Derby Makers,chair@derbymakers.com,DE1 3AF,1/11/13,,4,,No,Yes,small,No,30-39%,60-69%,,,,,,,,,,,,,,,,,,,,,,,,Yes
9-Feb-15,Makerspace,Duke Studios,HELLO@DUKE-STUDIOS.COM,LS9 8AG,1/5/11,,,,No,Yes,medium,Yes,40-49%,50-59%,,,Don't know,Don't know,Don't know,Don't know,,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Yes
10-Feb-15,Makerspace. Edited by Researcher,API - Arloesi Pontio Innovation,w.griffith@bangor.ac.uk,LL57 1UT,1/3/15,,,,No,Yes,unknown,Yes,,,,,,,,,0-10,0-10,,,,,,,,,,,,,,,,Yes
11-Feb-15,Makerspace,The Goodlife Centre Ltd,alison@thegoodlifecentre.co.uk,SE1 0QL,10/4/10,,,,No,No,unknown,No,,,,,,,,,,,,,,,,,,,90-100%,,,,,,,Yes
11-Feb-15,Makerspace,Tiree Tech Wave,alan@hcibook.com,PA77 6UR,15/03/2011,,,,No,Yes,medium,No,20-29%,80-89%,,,90-100%,<10%,,,0-10,10 to 50,30-39%,10-19%,10-19%,10-19%,< 10%,50-59%,30-39%,,20-29%,20-29%,30-39%,30-39%,<10%,90-100%,50-59%,No
12-Feb-15,Makerspace,Hatch,info@3space.org,OX1 2HF,1/1/15,,,,No,Yes,small,Yes,30-39%,50-59%,,,80-89%,,10-19%,,0-10,0-10,,,50-59%,,,10-19%,,40-49%,,,,,,,,Yes
12-Feb-15,Makerspace,Creative Reuse Centre March,admin@ccorrn.org.uk,PE15 8QP,15/05/2015,,,,Yes,Yes,unknown,Yes,,,,<10%,,,,,,,,,,,,,,,,,,,,,,Yes
13-Feb-15,Makerspace,London Sculpture Workshop,info@londonsculptureworkshop.org,SE1 5SF,1/9/12,,,Variety of tools as detailed previously.,No,Yes,large,No,50-59%,40-49%,,,,90-100%,,,250-1000,100-250,40-49%,50-59%,Don't know,Don't know,Don't know,40-49%,30-39%,20-29%,70-79%,90-100%,80-89%,80-89%,30-39%,<10%,,Yes
13-Feb-15,Makerspace,RLab - Reading Hackspace,matt+rlab@daubers.co.uk,RG1 7BX,12/12/13,,,Chisels,Yes,Yes,medium,Yes,<10%,90-100%,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,100-250,10 to 50,< 10%,60-69%,< 10%,< 10%,< 10%,20-29%,10-19%,,<10%,50-59%,<10%,<10%,<10%,10-19%,<10%,Yes
13-Feb-15,Makerspace. Edited by Researcher,Creative Work Spaces,Fiona.tarn@carillionservices.co.uk,UB5 5AS,,,20-May,,,,unknown,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Feb-15,Makerspace,York Hackspace,makers@york.hackspace.org.uk,YO23 1AB,16/09/2011,,,,No,No,small,No,10-19%,80-89%,,,90-100%,,,,0-10,0-10,< 10%,90-100%,< 10%,,,< 10%,,,<10%,,,<10%,,90-100%,,No
15-Feb-15,Makerspace,Bristol Hackspace,info@bristol.hackspace.org.uk,BS3 4EA,1/11/09,,20-Oct,,No,Yes,medium,No,<10%,90-100%,<10%,Don't know,80-89%,<10%,<10%,<10%,50-100,10 to 50,< 10%,80-89%,< 10%,Don't know,Don't know,10-19%,Don't know,10-19%,30-39%,30-39%,Don't know,Don't know,<10%,50-59%,Don't know,Yes
16-Feb-15,Makerspace,Maker Space,http://www.makerspace.org.uk/contact/,NE1 8AW,5/5/12,,,,No,Yes,unknown,No,10-19%,80-89%,,,80-89%,<10%,<10%,<10%,100-250,50-100,50-59%,50-59%,,,,,,,60-69%,60-69%,,,,60-69%,,No
17-Feb-15,Makerspace,Fab Lab London,hello@fablablondon.org,EC2R 8AE,19/09/2014,,36,,Yes,Yes,large,Yes,40-49%,40-49%,,,40-49%,,20-29%,<10%,250-1000,100-250,10-19%,,20-29%,20-29%,,,10-19%,,,10-19%,10-19%,<10%,<10%,10-19%,,Yes
17-Feb-15,Makerspace,Swindon Hackspace,,SN1 1QN,1/7/10,,,,No,Yes,small,No,10-19%,80-89%,<10%,<10%,90-100%,,,,50-100,10 to 50,20-29%,80-89%,,,,< 10%,< 10%,,20-29%,70-79%,70-79%,20-29%,<10%,50-59%,,No
18-Feb-15,Makerspace,FabLab NorthEast / Sunderland,,SR1 3QJ,1/5/15,,,,,Yes,unknown,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Feb-15,Makerspace,Leeds Hackspace,directors@leedshackspace.org.uk,LS9 7DS,4/5/12,,25,,No,Yes,medium,No,<10%,90-100%,Don't know,Don't know,90-100%,<10%,<10%,Don't know,10 to 50,10 to 50,90-100%,90-100%,< 10%,< 10%,< 10%,50-59%,20-29%,Don't know,30-39%,40-49%,30-39%,50-59%,10-19%,80-89%,Don't know,No
19-Feb-15,Makerspace. Edited by Researcher,Make:Bromyard,info@makebromyard.org.uk,HR7 4DU,19/02/2015,,20,,No,Yes,small,No,30-39%,60-69%,,,90-100%,,,,0-10,0-10,,,,,,,,Don't know,,,,,,,Don't know,Yes
19-Feb-15,Makerspace. Edited by Researcher,Lincoln Hackspace,Lincolnhackspae@live.co.uk,LN6 3RU,31/03/2015,30/11/2013,20,,No,Yes,small,Yes,10-19%,80-89%,,,80-89%,,<10%,,10 to 50,0-10,,80-89%,< 10%,< 10%,,< 10%,,,,50-59%,10-19%,,,90-100%,,No
25-Feb-15,Makerspace. Edited by Researcher,Makerversity,christina@makerversity.org,WC2R 1LA,11/9/13,,,,No,Yes,large,No,,,,,,,,,100-250,10 to 50,,,,,,,,,,,,,,,,Yes
25-Feb-15,Makerspace,Eastbourne Shed,oscarplumley@ageconcerneastbourne.co.uk,BN22 7SP,26/03/2015,,,Wood Carving equipment,Yes,Yes,unknown,Yes,<10%,90-100%,,,90-100%,,,,,,,,,,,,,,,,,,,,,No
26-Feb-15,Makerspace. Edited by Researcher,The Old School Club,info@theoldschoolclub.co.uk,SW11 5QL,10/6/13,,,,Yes,Yes,small,No,90-100%,,,,80-89%,,,,10 to 50,10 to 50,,50-59%,,,,50-59%,,,10-19%,20-29%,,,,50-59%,,Yes
27-Feb-15,Makerspace,Remakery,people@remakery.org,SE5 9HY,6/1/14,,Oct-98,,Yes,Yes,large,Yes,50-59%,50-59%,Don't know,Don't know,50-59%,<10%,<10%,<10%,100-250,50-100,10-19%,20-29%,10-19%,40-49%,< 10%,< 10%,< 10%,< 10%,10-19%,40-49%,10-19%,20-29%,10-19%,40-49%,,Yes
28-Feb-15,Researcher,Men in Sheds MK,info@meninshedsmk.og.uk,MK11 3HB,,,12,,,,small,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Feb-15,Researcher,Fab Lab Liverpool,,L3 5YD,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Feb-15,Researcher,Create Labs Scotland,reception@stepstirling.co.uk,FK7 7RP,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Feb-15,Researcher,Surrey & Hampshire Hackspace,,GU14 7SS,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar-15,Makerspace,GIMPS (Gadlys Inventors Makers & Promulgation Society ),,CF44 8AD,21/10/2014,,,,No,Yes,small,No,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar-15,Makerspace. Edited by Researcher,Make Aberdeen,info@make-aberdeen.com,AB10 1JR,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar-15,Researcher,Edinburgh Hacklab, info@edinburghhacklab.com, EH9 1PL,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar-15,Researcher,Ellesmere Port Fab lab, info@fablabep.org,CH65 8AB,18/07/2013,,,,Yes,Yes,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar-15,Researcher,Fab Lab Airedale,Enquiries@fablabairedale.org,BD21 4HQ,1/2/12,,,,Yes,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar-15,Researcher,Fab Lab Plymouth,fablab@pca.ac.uk,PL4 8AT,9/12/14,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar-15,Researcher,Electron Club,,G2 3JD,29/07/2006,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar-15,Researcher,hackspace cardiff,hackspace.cardiff@gmail.com,CF5 4AR,27/08/2014,,,,,Yes,small,,<10%,90-100%,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar-15,Researcher,Hackspace Manchester Hack Man,,M4 1HN,1/7/10,,,,No,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar-15,Researcher,MakLab,hello@maklab.co.uk,G3 6UJ,9/6/11,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar-15,Researcher,Sheffield Hardware Hackers and Makers,admins@sheffieldhardwarehackers.org.uk,S2 4SJ,20/02/2015,,,,,Yes,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar-15,Researcher,T-Exchange/Moray Maker Space,,IV36 3YR ,1/1/12,,,,No,Yes,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Mar-15,Makerspace,Fablab Belfast,patrick.ohare@ashtoncentre.com,BT15 2BP,9/4/12,,,none,Yes,Yes,large,Yes,40-49%,40-49%,10-19%,<10%,80-89%,,<10%,<10%,50-100,50-100,< 10%,50-59%,20-29%,< 10%,< 10%,70-79%,30-39%,,80-89%,80-89%,70-79%,80-89%,20-29%,<10%,,Yes
10-Mar-15,Makerspace. Edited by Researcher,Imperial College Advanced Hackspace,icah@imperial.ac.uk,SW7 2AZ,5/5/14,,,,No,Yes,large,Yes,20-29%,70-79%,,,40-49%,20-29%,10-19%,20-29%,100-250,50-100,,,,,,70-79%,20-29%,< 10%,50-59%,80-89%,80-89%,40-49%,40-49%,20-29%,,Yes
16-Mar-15,Makerspace,Oxhack,,OX1 1NJ,11/7/13,,10,None particularly for this use.,No,Yes,medium,No,<10%,90-100%,,,90-100%,<10%,<10%,<10%,100-250,10 to 50,10-19%,80-89%,10-19%,10-19%,< 10%,< 10%,< 10%,< 10%,10-19%,10-19%,<10%,10-19%,<10%,80-89%,<10%,Yes
